"","Name","Season","Apps","Mins","Assists","KeyP","AvgP","PS","Crosses","LongB","ThrB","Rating","Team.x","Meta","Team.y","Cost"
"2212","Wayne Routledge",2015,"22(6)",1683,1,1,23.2,74.5,0.4,0.8,0,6.38,"Swansea","M(CLR),FW","swansea-city",2550000
"2213","Wayne Routledge",2016,"11(1)",805,0,1.4,20.3,62.1,1,0.8,0,6.44,"Swansea","M(CLR),FW","swansea-city",2550000
"2214","Yoan Gouffran",2013,"31(4)",2626,3,0.8,29.3,83.6,0.2,1.1,0,6.8,"Newcastle United","M(CLR),FW",NA,NA
"2215","Yoan Gouffran",2014,"24(7)",1973,1,0.6,25.3,81.8,0.2,0.6,0,6.6,"Newcastle United","M(CLR),FW",NA,NA
"2216","Aaron Ramsey",2009,"7(11)",780,3,0.8,34.8,85.6,0.1,2.4,0.1,6.86,"Arsenal","M(CR)","arsenal-fc",4250000
"2217","Aaron Ramsey",2011,"27(7)",2466,4,1.6,56.6,87.3,0.3,3.1,0.2,6.77,"Arsenal","M(CR)","arsenal-fc",5100000
"2218","Aaron Ramsey",2012,"21(15)",2087,2,1.3,53.7,88.2,0.2,2.9,0.3,6.96,"Arsenal","M(CR)","arsenal-fc",9780000
"2219","Aaron Ramsey",2013,"20(3)",1764,8,1.4,65.9,84.4,0,3.3,0.4,7.76,"Arsenal","M(CR)","arsenal-fc",8500000
"2220","Aaron Ramsey",2014,"23(6)",2010,6,1.6,56.6,86,0.1,2,0.2,7.07,"Arsenal","M(CR)","arsenal-fc",1.7e+07
"2221","Aaron Ramsey",2015,"29(2)",2624,4,1.2,69.5,86.1,0.4,1.9,0.2,7.21,"Arsenal","M(CR)","arsenal-fc",21250000
"2222","Alex Pozuelo",2013,"7(15)",871,1,1,28.7,88,0.1,0.9,0.1,6.38,"Swansea","M(CR)",NA,NA
"2223","Anderson",2010,"14(4)",1190,2,0.8,38,82.9,0.1,2.8,0.2,6.95,"Manchester United","M(CR)","manchester-united",17850000
"2224","Brett Holman",2012,"16(11)",1429,3,0.9,20.3,74.1,0.3,0.5,0.1,6.47,"Aston Villa","M(CR)",NA,NA
"2225","Charles N'Zogbia",2009,"35(1)",3039,6,2.1,29.4,74.2,1.2,0.9,0.2,7.22,"Wigan","M(CR)",NA,NA
"2226","Charles N'Zogbia",2010,"32(2)",2801,4,2,29.6,77.7,0.8,0.8,0.4,7.17,"Wigan","M(CR)",NA,NA
"2227","Charles N'Zogbia",2011,"24(6)",2083,4,1.6,23.2,75.3,1.3,0.5,0.1,6.79,"Aston Villa","M(CR)",NA,NA
"2228","Charles N'Zogbia",2012,"11(10)",994,4,1,17.9,80.3,0.7,0.1,0.2,6.63,"Aston Villa","M(CR)",NA,NA
"2229","Charles N'Zogbia",2014,"19(8)",1432,2,0.6,19.7,80.8,0.3,0.3,0,6.37,"Aston Villa","M(CR)",NA,NA
"2230","Gary O'Neil",2012,"17(7)",1442,3,1.5,32.3,77.5,1.1,2.8,0,6.76,"West Ham","M(CR)","west-ham-united",2130000
"2231","Gary O'Neil",2015,"19(8)",1749,0,0.3,35,77,0.3,3.3,0,6.42,"Norwich","M(CR)",NA,NA
"2232","Graham Alexander",2009,"33",2747,1,1.1,43.9,78.7,0.5,3.2,0.1,6.69,"Burnley","M(CR)","burnley-fc",1280000
"2233","James Morrison",2010,"26(5)",2282,3,1.4,31.5,81,0.4,2.7,0.2,6.68,"West Bromwich Albion","M(CR)","west-bromwich-albion",2980000
"2234","James Morrison",2011,"23(7)",2140,5,2,39.4,82.7,1.1,1.4,0.2,7.28,"West Bromwich Albion","M(CR)","west-bromwich-albion",2980000
"2235","James Morrison",2012,"33(2)",2851,4,1.8,38.4,81.6,0.8,2.6,0.1,6.81,"West Bromwich Albion","M(CR)","west-bromwich-albion",3830000
"2236","James Morrison",2013,"23(9)",2210,3,1.1,37.6,83,0.4,2.7,0.1,6.8,"West Bromwich Albion","M(CR)","west-bromwich-albion",5530000
"2237","James Morrison",2014,"29(4)",2559,1,1.1,43,83.4,0.6,2.8,0.2,6.93,"West Bromwich Albion","M(CR)","west-bromwich-albion",5100000
"2238","James Morrison",2015,"17(1)",1344,3,0.8,32.9,83.6,0.1,1.9,0.1,7,"West Bromwich Albion","M(CR)","west-bromwich-albion",4250000
"2239","James Morrison",2016,"4(6)",438,1,0.9,21.1,83.9,0.1,1.3,0,6.57,"West Bromwich Albion","M(CR)","west-bromwich-albion",4250000
"2240","James Ward0Prowse",2013,"16(18)",1604,2,1.1,30.3,87.3,1.6,2.2,0,6.62,"Southampton","M(CR)",NA,NA
"2241","James Ward0Prowse",2014,"16(9)",1478,6,1.4,27.3,87.3,1.2,1.1,0,6.65,"Southampton","M(CR)",NA,NA
"2242","James Ward0Prowse",2015,"14(19)",1534,4,1,21.2,83.5,0.8,0.8,0,6.55,"Southampton","M(CR)",NA,NA
"2243","James Ward0Prowse",2016,"3(7)",292,1,1,19.2,83.9,0.5,0.8,0,6.45,"Southampton","M(CR)",NA,NA
"2244","Jeff Hendrick",2016,"10(1)",912,0,0.5,26.4,82.1,0.1,2.5,0,6.39,"Burnley","M(CR)","burnley-fc",4250000
"2245","Jonny Howson",2012,"22(8)",2042,1,0.6,33.2,80.5,0.1,2.3,0,6.56,"Norwich","M(CR)",NA,NA
"2246","Jonny Howson",2013,"23(4)",2085,0,0.7,42.1,84.5,0.1,3,0.1,6.53,"Norwich","M(CR)",NA,NA
"2247","Jonny Howson",2015,"33(3)",2953,4,0.7,35.6,74.8,0.3,1.8,0,6.77,"Norwich","M(CR)",NA,NA
"2248","Mousa Dembele",2010,"22(2)",1923,3,1.6,33.3,81.5,0.3,0.6,0.1,7.12,"Fulham","M(CR)",NA,NA
"2249","Mousa Dembele",2011,"33(3)",2941,2,1.4,46.7,88.6,0.1,1.3,0.1,7.27,"Fulham","M(CR)",NA,NA
"2250","Mousa Dembele",2012,"26(4)",2211,3,1.9,48.8,90.8,0,3.3,0.1,7.23,"Tottenham","M(CR)","tottenham-hotspur",11050000
"2251","Mousa Dembele",2013,"22(6)",1823,1,1.1,40.4,90.8,0,2.6,0,7.14,"Tottenham","M(CR)","tottenham-hotspur",17850000
"2252","Mousa Dembele",2014,"10(16)",1140,1,0.8,32.1,89.3,0,0.8,0,6.63,"Tottenham","M(CR)","tottenham-hotspur",1.7e+07
"2253","Mousa Dembele",2015,"27(2)",2273,1,1,47.6,90,0,1.4,0,7.69,"Tottenham","M(CR)","tottenham-hotspur",12750000
"2254","Mousa Dembele",2016,"7(1)",607,0,0.9,51,91.4,0,2.9,0,7.38,"Tottenham","M(CR)","tottenham-hotspur",15300000
"2255","Moussa Sissoko",2013,"35",3036,6,2.2,38.5,81.2,0.8,1.3,0.2,7.09,"Newcastle United","M(CR)",NA,NA
